# Dataset file - Commit 126 File 3
id,timestamp,category,value,score
1,2026-03-03,ml,7076,115285668300
2,2026-03-02,user,1847,10100835400
3,2026-03-01,ml,676,198030805200
4,2026-02-28,data,5508,66347224000
5,2026-02-27,api,1195,124407016100
6,2026-02-26,data,4114,23295329300
7,2026-02-25,data,4435,101481532800
8,2026-02-24,api,1436,192615703700
9,2026-02-23,data,6739,84257812600
10,2026-02-22,user,1303,3928949900
11,2026-02-21,data,5373,15903423900
12,2026-02-20,ml,2172,2929586600
13,2026-02-19,api,3729,18612100800
14,2026-02-18,data,869,166798393800
15,2026-02-17,api,5154,114758562900
16,2026-02-16,api,8831,113203501300
17,2026-02-15,user,6281,13254202900
18,2026-02-14,data,5138,7513283800
19,2026-02-13,ml,5958,93105043300
20,2026-02-12,ml,4465,130910535100
21,2026-02-11,data,4467,115155719800
22,2026-02-10,user,1571,154478530800
23,2026-02-09,ml,2823,132298568800
24,2026-02-08,ml,480,199853269200
25,2026-02-07,user,7237,98085424300
26,2026-02-06,api,832,2503010600
27,2026-02-05,data,2149,104175186600
28,2026-02-04,ml,8760,40699262600
29,2026-02-03,user,51,140116932800
30,2026-02-02,api,8685,10400923100
31,2026-02-01,data,3521,161046616500
32,2026-01-31,data,8299,114193438400
33,2026-01-30,user,3286,122725350700
34,2026-01-29,ml,4497,206229088200
35,2026-01-28,ml,5837,155295349900
36,2026-01-27,user,9026,231767500
37,2026-01-26,api,9122,211368266800
38,2026-01-25,user,1066,105634207900
39,2026-01-24,user,4353,13371159400
40,2026-01-23,ml,4578,85150434400
41,2026-01-22,user,274,66649850700
42,2026-01-21,api,3920,177118001000
43,2026-01-20,data,8418,174257823500
44,2026-01-19,user,7429,123711739100
45,2026-01-18,user,249,26946778300
46,2026-01-17,ml,422,160928439600
47,2026-01-16,ml,1656,46494224100
48,2026-01-15,user,9220,38906451400
49,2026-01-14,ml,7004,2412165700
50,2026-01-13,api,1351,140920644000
51,2026-01-12,data,5317,75069640900
52,2026-01-11,data,5075,15026027300
53,2026-01-10,user,2659,28521184100
54,2026-01-09,ml,3225,95099955200
55,2026-01-08,user,6350,91022451800
56,2026-01-07,data,3767,197984800500
57,2026-01-06,user,1186,34221574500
58,2026-01-05,ml,4229,208977395900
59,2026-01-04,ml,7615,78329638100
60,2026-01-03,ml,8402,211637857000
61,2026-01-02,ml,9260,88352921700
62,2026-01-01,api,4336,28481502100
63,2025-12-31,data,7260,76412244100
64,2025-12-30,user,421,140465221300
65,2025-12-29,user,5683,181567788900
66,2025-12-28,ml,6656,24090965200
67,2025-12-27,data,9890,171789897300
68,2025-12-26,ml,2441,61259708200
69,2025-12-25,api,5052,9633918200
70,2025-12-24,ml,1667,27538962100
71,2025-12-23,user,7838,130903208000
72,2025-12-22,user,3967,156068163900
73,2025-12-21,ml,2865,173740108200
74,2025-12-20,ml,4430,45854526800
75,2025-12-19,api,6556,71443960000
76,2025-12-18,ml,9737,38725613600
77,2025-12-17,ml,2059,136953305500
78,2025-12-16,data,355,112293554200
79,2025-12-15,data,2549,193916297800
80,2025-12-14,ml,1619,6282255200
81,2025-12-13,data,6632,117422874000
82,2025-12-12,data,4647,152012822300
83,2025-12-11,data,269,18481827500
84,2025-12-10,data,9766,60065129500
85,2025-12-09,api,8755,66229026700
86,2025-12-08,api,4662,144458823700
87,2025-12-07,ml,6016,133505172600
88,2025-12-06,data,5515,120721008100
89,2025-12-05,user,3863,152027809700
90,2025-12-04,api,3076,177870381200
91,2025-12-03,api,5429,32460143600
92,2025-12-02,data,6063,155563080500
93,2025-12-01,ml,6775,104127392400
94,2025-11-30,api,7093,120304569300
95,2025-11-29,data,3749,110756044500
96,2025-11-28,user,3487,190241547300
97,2025-11-27,api,5402,182679343400
98,2025-11-26,data,908,181771407500
99,2025-11-25,user,5995,118980561900
100,2025-11-24,api,2357,35034301100
101,2025-11-23,data,2299,29298454600
102,2025-11-22,user,6728,165181069500
103,2025-11-21,user,9182,78100096800
104,2025-11-20,ml,3400,168901284300
