# Dataset file - Commit 98 File 1
id,timestamp,category,value,score
1,2026-03-03,ml,1276,177388841500
2,2026-03-02,data,6594,130098066900
3,2026-03-01,api,627,174449348200
4,2026-02-28,user,4966,77074523300
5,2026-02-27,user,2836,126615358400
6,2026-02-26,user,5959,98155840100
7,2026-02-25,data,8663,112497006600
8,2026-02-24,ml,6299,124619867200
9,2026-02-23,data,8580,4237734700
10,2026-02-22,api,5917,96267947900
11,2026-02-21,ml,5400,91414671100
12,2026-02-20,ml,6243,202103801300
13,2026-02-19,ml,5555,197640481500
14,2026-02-18,ml,6878,47604639900
15,2026-02-17,ml,8281,194723297100
16,2026-02-16,user,7208,156914713100
17,2026-02-15,data,8925,157490600400
18,2026-02-14,ml,2932,193908716200
19,2026-02-13,data,3,22797983900
20,2026-02-12,api,3528,212361561500
21,2026-02-11,data,2937,139225953800
22,2026-02-10,user,3956,175860521700
23,2026-02-09,data,9149,56103093100
24,2026-02-08,user,6240,197954083300
25,2026-02-07,user,2212,78757249200
26,2026-02-06,api,9829,120111496100
27,2026-02-05,user,4835,21591159200
28,2026-02-04,ml,6619,171353663900
29,2026-02-03,ml,1880,78595017100
30,2026-02-02,user,901,35758790800
31,2026-02-01,ml,5562,17403166900
32,2026-01-31,data,8525,84075867600
33,2026-01-30,ml,3926,164588354700
34,2026-01-29,user,9646,45162614300
35,2026-01-28,data,4340,98550409200
36,2026-01-27,ml,3330,98167565000
37,2026-01-26,user,9720,29852702300
38,2026-01-25,ml,1861,154675988400
39,2026-01-24,ml,4379,146216086800
40,2026-01-23,data,4470,77895720200
41,2026-01-22,api,3653,170572099100
42,2026-01-21,user,8700,95484683200
43,2026-01-20,api,9787,124190386700
44,2026-01-19,data,4430,203977866700
45,2026-01-18,ml,5480,43321313100
46,2026-01-17,data,540,52872600900
47,2026-01-16,ml,376,141871216300
48,2026-01-15,api,813,120424909900
49,2026-01-14,data,5861,179043439600
50,2026-01-13,ml,544,209976475600
51,2026-01-12,ml,8972,192085005700
52,2026-01-11,data,9384,16878221700
53,2026-01-10,api,3743,214200037600
54,2026-01-09,ml,4330,206739717100
55,2026-01-08,data,1271,155250803000
56,2026-01-07,user,4148,156657162700
57,2026-01-06,api,3061,4864753100
58,2026-01-05,api,3725,107972561200
59,2026-01-04,data,27,115584363300
60,2026-01-03,ml,6598,188177901700
61,2026-01-02,ml,2889,109912940400
62,2026-01-01,ml,9318,78121142000
63,2025-12-31,user,6507,92487781000
64,2025-12-30,data,4584,42172212000
65,2025-12-29,ml,3855,108976145900
66,2025-12-28,data,8775,74336063000
67,2025-12-27,data,6157,63614005600
68,2025-12-26,api,9529,128131369800
69,2025-12-25,data,1591,205520349300
70,2025-12-24,api,2170,178601797100
71,2025-12-23,user,3877,189769521400
72,2025-12-22,data,3195,12770433100
73,2025-12-21,data,7422,26337814600
74,2025-12-20,api,6443,148524514200
75,2025-12-19,data,5723,40756670000
76,2025-12-18,data,3846,42377762000
77,2025-12-17,data,2115,191511157500
